brand,price,mileage,power,new,year,fuel,cc
Kawasaki,3950,25000.0,25.0,Gebruikt,1996.0,Benzine,805.0
Kawasaki,4395,0.0,11.0,Nieuw,2021.0,0,125.0
Kawasaki,4695,0.0,11.0,Nieuw,2021.0,0,125.0
Kawasaki,5595,33000.0,47.0,Gebruikt,1999.0,Benzine,1471.0
Kawasaki,5989,48161.0,140.0,Gebruikt,2007.0,Benzine,1352.0
Kawasaki,6289,18043.0,50.0,Gebruikt,2018.0,Benzine,649.0
Kawasaki,6489,20905.0,35.0,Gebruikt,2015.0,Benzine,903.0
Kawasaki,6990,6460.0,45.0,Gebruikt,2017.0,Benzine,649.0
Kawasaki,7489,891.0,51.0,Gebruikt,2016.0,Benzine,649.0
Kawasaki,7689,32059.0,102.0,Gebruikt,2011.0,Benzine,1043.0
Kawasaki,7745,0.0,50.0,Nieuw,2021.0,0,649.0
Kawasaki,8045,0.0,45.0,Nieuw,2021.0,0,649.0
Kawasaki,9695,0.0,92.0,Nieuw,2021.0,0,948.0
Kawasaki,13689,9685.0,147.0,Gebruikt,2015.0,Benzine,1441.0
Kawasaki,3350,43315.0,78.0,Gebruikt,2002.0,Benzine,1200.0
Kawasaki,3499,30000.0,105.0,Gebruikt,2003.0,Benzine,786.409626719057
Kawasaki,4800,44814.0,129.0,Gebruikt,2006.0,Benzine,998.0
Kawasaki,5599,51305.0,102.0,Gebruikt,2011.0,Not defined,1043.0
Kawasaki,5999,12770.0,37.0,Gebruikt,2006.0,Benzine,749.0
Kawasaki,6580,46000.0,74.0,Gebruikt,1982.0,Benzine,786.409626719057
Honda,2550,760.0,7.0,Gebruikt,2020.0,Super 95,125.0
Honda,2590,0.0,5.0,Nieuw,2002.5164528722808,0,110.0
Honda,2950,40203.0,78.0,Gebruikt,2002.0,Benzine,996.0
Honda,3390,360.0,9.0,Gebruikt,2019.0,Benzine,125.0
Honda,3489,31971.0,54.0,Gebruikt,1996.0,Benzine,747.0
Honda,3970,0.0,7.0,Nieuw,2002.5164528722808,0,125.0
Honda,4320,0.0,9.0,Nieuw,2002.5164528722808,0,125.0
Honda,4890,7480.0,35.0,Gebruikt,2019.0,Benzine,471.0
Honda,4989,883.0,35.0,Gebruikt,2004.0,Benzine,449.0
Honda,5390,3221.0,18.0,Gebruikt,2020.0,Benzine,250.0
Honda,5490,14334.0,72.0,Gebruikt,2006.0,Benzine,998.0
Honda,6489,22152.0,79.0,Gebruikt,2010.0,Benzine,998.0
Honda,6520,0.0,34.0,Nieuw,2002.5164528722808,0,471.0
Honda,8290,20300.0,40.0,Gebruikt,2017.0,Benzine,745.0
